GPU_ID,Power_Usage_W,Timestamp
0,121.404,1742510784.9111738
1,117.477,1742510784.9111738
2,121.505,1742510784.9111738
3,119.02,1742510784.9111738
4,117.955,1742510784.9111738
5,120.922,1742510784.9111738
6,117.004,1742510784.9111738
7,126.09,1742510784.9111738
0,121.404,1742510784.9613197
1,117.477,1742510784.9613197
2,121.505,1742510784.9613197
3,119.02,1742510784.9613197
4,117.962,1742510784.9613197
5,120.921,1742510784.9613197
6,117.004,1742510784.9613197
7,126.097,1742510784.9613197
0,121.378,1742510785.0114608
1,117.491,1742510785.0114608
2,121.511,1742510785.0114608
3,119.02,1742510785.0114608
4,117.962,1742510785.0114608
5,120.921,1742510785.0114608
6,117.004,1742510785.0114608
7,126.097,1742510785.0114608
0,121.378,1742510785.0616124
1,117.491,1742510785.0616124
2,121.511,1742510785.0616124
3,119.014,1742510785.0616124
4,117.975,1742510785.0616124
5,120.909,1742510785.0616124
6,117.001,1742510785.0616124
7,126.057,1742510785.0616124
0,121.357,1742510785.1117682
1,117.485,1742510785.1117682
2,121.505,1742510785.1117682
3,119.014,1742510785.1117682
4,117.975,1742510785.1117682
5,120.909,1742510785.1117682
6,117.001,1742510785.1117682
7,126.057,1742510785.1117682
0,121.357,1742510785.1619084
1,117.485,1742510785.1619084
2,121.505,1742510785.1619084
3,119.006,1742510785.1619084
4,117.972,1742510785.1619084
5,120.881,1742510785.1619084
6,117.008,1742510785.1619084
7,126.063,1742510785.1619084
0,121.366,1742510785.21205
1,117.492,1742510785.21205
2,121.504,1742510785.21205
3,119.006,1742510785.21205
4,117.972,1742510785.21205
5,120.881,1742510785.21205
6,117.008,1742510785.21205
7,126.063,1742510785.21205
0,121.366,1742510785.262193
1,117.492,1742510785.262193
2,121.504,1742510785.262193
3,118.986,1742510785.262193
4,117.959,1742510785.262193
5,120.881,1742510785.262193
6,117.014,1742510785.262193
7,126.056,1742510785.262193
0,121.32,1742510785.3123202
1,117.532,1742510785.3123202
2,121.497,1742510785.3123202
3,118.986,1742510785.3123202
4,117.959,1742510785.3123202
5,120.881,1742510785.3123202
6,117.014,1742510785.3123202
7,126.056,1742510785.3123202
0,121.32,1742510785.3624501
1,117.532,1742510785.3624501
2,121.497,1742510785.3624501
3,118.958,1742510785.3624501
4,117.965,1742510785.3624501
5,120.872,1742510785.3624501
6,116.997,1742510785.3624501
7,126.042,1742510785.3624501
0,121.326,1742510785.4125845
1,117.43,1742510785.4125845
2,121.49,1742510785.4125845
3,118.958,1742510785.4125845
4,117.965,1742510785.4125845
5,120.872,1742510785.4125845
6,116.997,1742510785.4125845
7,126.042,1742510785.4125845
0,121.326,1742510785.462726
1,117.43,1742510785.462726
2,121.49,1742510785.462726
3,118.939,1742510785.462726
4,117.956,1742510785.462726
5,120.879,1742510785.462726
6,116.975,1742510785.462726
7,126.05,1742510785.462726
0,121.296,1742510785.5128691
1,117.537,1742510785.5128691
2,121.483,1742510785.5128691
3,118.939,1742510785.5128691
4,117.956,1742510785.5128691
5,120.879,1742510785.5128691
6,116.975,1742510785.5128691
7,126.05,1742510785.5128691
0,121.296,1742510785.5630162
1,117.537,1742510785.5630162
2,121.483,1742510785.5630162
3,118.931,1742510785.5630162
4,117.969,1742510785.5630162
5,120.852,1742510785.5630162
6,116.955,1742510785.5630162
7,126.043,1742510785.5630162
0,121.283,1742510785.613154
1,117.401,1742510785.613154
2,121.483,1742510785.613154
3,118.931,1742510785.613154
4,117.969,1742510785.613154
5,120.852,1742510785.613154
6,116.955,1742510785.613154
7,126.043,1742510785.613154
0,121.283,1742510785.6632903
1,117.401,1742510785.6632903
2,121.483,1742510785.6632903
3,118.931,1742510785.6632903
4,117.96,1742510785.6632903
5,120.859,1742510785.6632903
6,116.955,1742510785.6632903
7,126.051,1742510785.6632903
0,121.275,1742510785.7134316
1,117.531,1742510785.7134316
2,121.477,1742510785.7134316
3,118.931,1742510785.7134316
4,117.96,1742510785.7134316
5,120.859,1742510785.7134316
6,116.955,1742510785.7134316
7,126.051,1742510785.7134316
0,121.275,1742510785.7635875
1,117.531,1742510785.7635875
2,121.477,1742510785.7635875
3,118.932,1742510785.7635875
4,117.931,1742510785.7635875
5,120.839,1742510785.7635875
6,116.955,1742510785.7635875
7,126.044,1742510785.7635875
0,121.316,1742510785.8137314
1,117.388,1742510785.8137314
2,121.463,1742510785.8137314
3,118.932,1742510785.8137314
4,117.931,1742510785.8137314
5,120.839,1742510785.8137314
6,116.955,1742510785.8137314
7,126.044,1742510785.8137314
0,121.316,1742510785.86389
1,117.388,1742510785.86389
2,121.463,1742510785.86389
3,118.919,1742510785.86389
4,117.918,1742510785.86389
5,120.839,1742510785.86389
6,116.955,1742510785.86389
7,126.003,1742510785.86389
0,121.297,1742510785.914031
1,117.464,1742510785.914031
2,121.455,1742510785.914031
3,118.919,1742510785.914031
4,117.918,1742510785.914031
5,120.839,1742510785.914031
6,116.955,1742510785.914031
7,126.003,1742510785.914031
0,121.297,1742510785.964162
1,117.464,1742510785.964162
2,121.455,1742510785.964162
3,118.926,1742510785.964162
4,117.903,1742510785.964162
5,120.81,1742510785.964162
6,116.968,1742510785.964162
7,125.976,1742510785.964162
0,121.236,1742510786.0142896
1,117.418,1742510786.0142896
2,121.434,1742510786.0142896
3,118.926,1742510786.0142896
4,117.903,1742510786.0142896
5,120.81,1742510786.0142896
6,116.968,1742510786.0142896
7,125.976,1742510786.0142896
0,121.236,1742510786.064422
1,117.418,1742510786.064422
2,121.434,1742510786.064422
3,118.911,1742510786.064422
4,117.916,1742510786.064422
5,120.817,1742510786.064422
6,116.955,1742510786.064422
7,125.973,1742510786.064422
0,121.278,1742510786.1145492
1,117.391,1742510786.1145492
2,121.433,1742510786.1145492
3,118.911,1742510786.1145492
4,117.916,1742510786.1145492
5,120.817,1742510786.1145492
6,116.955,1742510786.1145492
7,125.973,1742510786.1145492
0,121.278,1742510786.1646876
1,117.391,1742510786.1646876
2,121.433,1742510786.1646876
3,118.905,1742510786.1646876
4,117.909,1742510786.1646876
5,120.789,1742510786.1646876
6,116.92,1742510786.1646876
7,125.942,1742510786.1646876
0,121.216,1742510786.2148163
1,117.45,1742510786.2148163
2,121.414,1742510786.2148163
3,118.905,1742510786.2148163
4,117.909,1742510786.2148163
5,120.789,1742510786.2148163
6,116.92,1742510786.2148163
7,125.942,1742510786.2148163
0,121.216,1742510786.2649367
1,117.45,1742510786.2649367
2,121.414,1742510786.2649367
3,118.919,1742510786.2649367
4,117.895,1742510786.2649367
5,120.81,1742510786.2649367
6,116.908,1742510786.2649367
7,125.939,1742510786.2649367
0,121.185,1742510786.3150768
1,117.332,1742510786.3150768
2,121.394,1742510786.3150768
3,118.919,1742510786.3150768
4,117.895,1742510786.3150768
5,120.81,1742510786.3150768
6,116.908,1742510786.3150768
7,125.939,1742510786.3150768
0,121.185,1742510786.3652174
1,117.332,1742510786.3652174
2,121.394,1742510786.3652174
3,118.926,1742510786.3652174
4,117.887,1742510786.3652174
5,120.786,1742510786.3652174
6,116.883,1742510786.3652174
7,125.943,1742510786.3652174
0,121.142,1742510786.4153547
1,117.445,1742510786.4153547
2,121.409,1742510786.4153547
3,118.926,1742510786.4153547
4,117.887,1742510786.4153547
5,120.786,1742510786.4153547
6,116.883,1742510786.4153547
7,125.943,1742510786.4153547
0,121.142,1742510786.465481
1,117.445,1742510786.465481
2,121.409,1742510786.465481
3,118.924,1742510786.465481
4,117.863,1742510786.465481
5,120.771,1742510786.465481
6,116.888,1742510786.465481
7,125.936,1742510786.465481
0,121.119,1742510786.515605
1,117.293,1742510786.515605
2,121.396,1742510786.515605
3,118.924,1742510786.515605
4,117.863,1742510786.515605
5,120.771,1742510786.515605
6,116.888,1742510786.515605
7,125.936,1742510786.515605
0,121.119,1742510786.5657406
1,117.293,1742510786.5657406
2,121.396,1742510786.5657406
3,118.912,1742510786.5657406
4,117.849,1742510786.5657406
5,120.743,1742510786.5657406
6,116.901,1742510786.5657406
7,125.913,1742510786.5657406
0,121.101,1742510786.6158767
1,117.44,1742510786.6158767
2,121.393,1742510786.6158767
3,118.912,1742510786.6158767
4,117.849,1742510786.6158767
5,120.743,1742510786.6158767
6,116.901,1742510786.6158767
7,125.913,1742510786.6158767
0,121.101,1742510786.666003
1,117.44,1742510786.666003
2,121.393,1742510786.666003
3,118.924,1742510786.666003
4,117.836,1742510786.666003
5,120.773,1742510786.666003
6,116.916,1742510786.666003
7,125.892,1742510786.666003
0,121.049,1742510786.7161286
1,117.308,1742510786.7161286
2,121.381,1742510786.7161286
3,118.924,1742510786.7161286
4,117.836,1742510786.7161286
5,120.773,1742510786.7161286
6,116.916,1742510786.7161286
7,125.892,1742510786.7161286
0,121.049,1742510786.766253
1,117.308,1742510786.766253
2,121.381,1742510786.766253
3,118.91,1742510786.766253
4,117.829,1742510786.766253
5,120.746,1742510786.766253
6,116.903,1742510786.766253
7,125.871,1742510786.766253
0,120.953,1742510786.8163893
1,117.406,1742510786.8163893
2,121.385,1742510786.8163893
3,118.91,1742510786.8163893
4,117.829,1742510786.8163893
5,120.746,1742510786.8163893
6,116.903,1742510786.8163893
7,125.871,1742510786.8163893
0,120.953,1742510786.866515
1,117.406,1742510786.866515
2,121.385,1742510786.866515
3,118.903,1742510786.866515
4,117.836,1742510786.866515
5,120.735,1742510786.866515
6,116.863,1742510786.866515
7,125.872,1742510786.866515
0,120.943,1742510786.9166405
1,117.324,1742510786.9166405
2,121.367,1742510786.9166405
3,118.903,1742510786.9166405
4,117.836,1742510786.9166405
5,120.735,1742510786.9166405
6,116.863,1742510786.9166405
7,125.872,1742510786.9166405
0,120.943,1742510786.966781
1,117.324,1742510786.966781
2,121.367,1742510786.966781
3,118.877,1742510786.966781
4,117.847,1742510786.966781
5,120.722,1742510786.966781
6,116.844,1742510786.966781
7,125.849,1742510786.966781
0,120.946,1742510787.016917
1,117.365,1742510787.016917
2,121.36,1742510787.016917
3,118.877,1742510787.016917
4,117.847,1742510787.016917
5,120.722,1742510787.016917
6,116.844,1742510787.016917
7,125.849,1742510787.016917
0,120.946,1742510787.0670538
1,117.365,1742510787.0670538
2,121.36,1742510787.0670538
3,118.877,1742510787.0670538
4,117.854,1742510787.0670538
5,120.738,1742510787.0670538
6,116.831,1742510787.0670538
7,125.842,1742510787.0670538
0,120.856,1742510787.1171923
1,117.38,1742510787.1171923
2,121.358,1742510787.1171923
3,118.877,1742510787.1171923
4,117.854,1742510787.1171923
5,120.738,1742510787.1171923
6,116.831,1742510787.1171923
7,125.842,1742510787.1171923
0,120.856,1742510787.1673172
1,117.38,1742510787.1673172
2,121.358,1742510787.1673172
3,118.87,1742510787.1673172
4,117.827,1742510787.1673172
5,120.763,1742510787.1673172
6,116.85,1742510787.1673172
7,125.844,1742510787.1673172
0,120.842,1742510787.2174435
1,117.306,1742510787.2174435
2,121.358,1742510787.2174435
3,118.87,1742510787.2174435
4,117.827,1742510787.2174435
5,120.763,1742510787.2174435
6,116.85,1742510787.2174435
7,125.844,1742510787.2174435
0,120.842,1742510787.2675781
1,117.306,1742510787.2675781
2,121.358,1742510787.2675781
3,118.87,1742510787.2675781
4,117.821,1742510787.2675781
5,120.711,1742510787.2675781
6,116.875,1742510787.2675781
7,125.818,1742510787.2675781
0,120.833,1742510787.317716
1,117.407,1742510787.317716
2,121.358,1742510787.317716
3,118.87,1742510787.317716
4,117.821,1742510787.317716
5,120.711,1742510787.317716
6,116.875,1742510787.317716
7,125.818,1742510787.317716
0,120.833,1742510787.3678548
1,117.407,1742510787.3678548
2,121.358,1742510787.3678548
3,118.862,1742510787.3678548
4,117.807,1742510787.3678548
5,120.711,1742510787.3678548
6,116.869,1742510787.3678548
7,125.791,1742510787.3678548
0,120.794,1742510787.4179938
1,117.279,1742510787.4179938
2,121.344,1742510787.4179938
3,118.862,1742510787.4179938
4,117.807,1742510787.4179938
5,120.711,1742510787.4179938
6,116.869,1742510787.4179938
7,125.791,1742510787.4179938
0,120.794,1742510787.4680996
1,117.279,1742510787.4680996
2,121.344,1742510787.4680996
3,118.849,1742510787.4680996
4,117.802,1742510787.4680996
5,120.679,1742510787.4680996
6,116.857,1742510787.4680996
7,125.763,1742510787.4680996
0,120.778,1742510787.518225
1,117.42,1742510787.518225
2,121.345,1742510787.518225
3,118.849,1742510787.518225
4,117.802,1742510787.518225
5,120.679,1742510787.518225
6,116.857,1742510787.518225
7,125.763,1742510787.518225
0,120.778,1742510787.568349
1,117.42,1742510787.568349
2,121.345,1742510787.568349
3,118.836,1742510787.568349
4,117.816,1742510787.568349
5,120.703,1742510787.568349
6,116.837,1742510787.568349
7,125.763,1742510787.568349
0,120.76,1742510787.618486
1,117.281,1742510787.618486
2,121.322,1742510787.618486
3,118.836,1742510787.618486
4,117.816,1742510787.618486
5,120.703,1742510787.618486
6,116.837,1742510787.618486
7,125.763,1742510787.618486
0,120.76,1742510787.6686199
1,117.281,1742510787.6686199
2,121.322,1742510787.6686199
3,118.816,1742510787.6686199
4,117.817,1742510787.6686199
5,120.662,1742510787.6686199
6,116.811,1742510787.6686199
7,125.756,1742510787.6686199
0,120.764,1742510787.7187567
1,117.367,1742510787.7187567
2,121.315,1742510787.7187567
3,118.816,1742510787.7187567
4,117.817,1742510787.7187567
5,120.662,1742510787.7187567
6,116.811,1742510787.7187567
7,125.756,1742510787.7187567
0,120.764,1742510787.7688968
1,117.367,1742510787.7688968
2,121.315,1742510787.7688968
3,118.81,1742510787.7688968
4,117.799,1742510787.7688968
5,120.67,1742510787.7688968
6,116.798,1742510787.7688968
7,125.749,1742510787.7688968
0,120.746,1742510787.8190334
1,117.289,1742510787.8190334
2,121.303,1742510787.8190334
3,118.81,1742510787.8190334
4,117.799,1742510787.8190334
5,120.67,1742510787.8190334
6,116.798,1742510787.8190334
7,125.749,1742510787.8190334
0,120.746,1742510787.86917
1,117.289,1742510787.86917
2,121.303,1742510787.86917
3,118.8,1742510787.86917
4,117.772,1742510787.86917
5,120.636,1742510787.86917
6,116.817,1742510787.86917
7,125.734,1742510787.86917
0,120.756,1742510787.9192998
1,117.321,1742510787.9192998
2,121.268,1742510787.9192998
3,118.8,1742510787.9192998
4,117.772,1742510787.9192998
5,120.636,1742510787.9192998
6,116.817,1742510787.9192998
7,125.734,1742510787.9192998
0,120.756,1742510787.9694304
1,117.321,1742510787.9694304
2,121.268,1742510787.9694304
3,118.806,1742510787.9694304
4,117.772,1742510787.9694304
5,120.657,1742510787.9694304
6,116.83,1742510787.9694304
7,125.741,1742510787.9694304
0,120.761,1742510788.0195794
1,117.277,1742510788.0195794
2,121.254,1742510788.0195794
3,118.806,1742510788.0195794
4,117.772,1742510788.0195794
5,120.657,1742510788.0195794
6,116.83,1742510788.0195794
7,125.741,1742510788.0195794
0,120.761,1742510788.0697324
1,117.277,1742510788.0697324
2,121.254,1742510788.0697324
3,118.796,1742510788.0697324
4,117.745,1742510788.0697324
5,120.609,1742510788.0697324
6,116.824,1742510788.0697324
7,125.722,1742510788.0697324
0,120.754,1742510788.119861
1,117.297,1742510788.119861
2,121.268,1742510788.119861
3,118.796,1742510788.119861
4,117.745,1742510788.119861
5,120.609,1742510788.119861
6,116.824,1742510788.119861
7,125.722,1742510788.119861
0,120.754,1742510788.1701126
1,117.297,1742510788.1701126
2,121.268,1742510788.1701126
3,118.793,1742510788.1701126
4,117.74,1742510788.1701126
5,120.59,1742510788.1701126
6,116.818,1742510788.1701126
7,125.71,1742510788.1701126
0,120.787,1742510788.2202563
1,117.284,1742510788.2202563
2,121.26,1742510788.2202563
3,118.793,1742510788.2202563
4,117.74,1742510788.2202563
5,120.59,1742510788.2202563
6,116.818,1742510788.2202563
7,125.71,1742510788.2202563
0,120.787,1742510788.2704
1,117.284,1742510788.2704
2,121.26,1742510788.2704
3,118.793,1742510788.2704
4,117.733,1742510788.2704
5,120.576,1742510788.2704
6,116.785,1742510788.2704
7,125.71,1742510788.2704
0,120.784,1742510788.3205276
1,117.284,1742510788.3205276
2,121.239,1742510788.3205276
3,118.793,1742510788.3205276
4,117.733,1742510788.3205276
5,120.576,1742510788.3205276
6,116.785,1742510788.3205276
7,125.71,1742510788.3205276
0,120.784,1742510788.3706706
1,117.223,1742510788.3706706
2,121.239,1742510788.3706706
3,118.78,1742510788.3706706
4,117.739,1742510788.3706706
5,120.591,1742510788.3706706
6,116.778,1742510788.3706706
7,125.681,1742510788.3706706
0,120.786,1742510788.4208074
1,117.313,1742510788.4208074
2,121.226,1742510788.4208074
