GPU_ID,Power_Usage_W,Timestamp
0,120.978,1742511206.6420949
1,118.37,1742511206.6420949
2,121.18,1742511206.6420949
3,118.755,1742511206.6420949
4,117.71,1742511206.6420949
5,121.097,1742511206.6420949
6,117.477,1742511206.6420949
7,124.014,1742511206.6420949
0,120.945,1742511206.6922395
1,118.21,1742511206.6922395
2,121.18,1742511206.6922395
3,118.755,1742511206.6922395
4,117.71,1742511206.6922395
5,121.097,1742511206.6922395
6,117.477,1742511206.6922395
7,124.014,1742511206.6922395
0,120.945,1742511206.7423956
1,118.21,1742511206.7423956
2,121.18,1742511206.7423956
3,118.755,1742511206.7423956
4,117.697,1742511206.7423956
5,121.095,1742511206.7423956
6,117.49,1742511206.7423956
7,123.987,1742511206.7423956
0,120.954,1742511206.7925408
1,118.25,1742511206.7925408
2,121.18,1742511206.7925408
3,118.762,1742511206.7925408
4,117.697,1742511206.7925408
5,121.095,1742511206.7925408
6,117.49,1742511206.7925408
7,123.987,1742511206.7925408
0,120.954,1742511206.842687
1,118.25,1742511206.842687
2,121.18,1742511206.842687
3,118.762,1742511206.842687
4,117.692,1742511206.842687
5,121.08,1742511206.842687
6,117.483,1742511206.842687
7,123.981,1742511206.842687
0,120.983,1742511206.8928306
1,118.053,1742511206.8928306
2,121.167,1742511206.8928306
3,118.769,1742511206.8928306
4,117.692,1742511206.8928306
5,121.08,1742511206.8928306
6,117.483,1742511206.8928306
7,123.981,1742511206.8928306
0,120.983,1742511206.94298
1,118.053,1742511206.94298
2,121.167,1742511206.94298
3,118.769,1742511206.94298
4,117.68,1742511206.94298
5,121.044,1742511206.94298
6,117.47,1742511206.94298
7,123.96,1742511206.94298
0,120.95,1742511206.9931185
1,118.104,1742511206.9931185
2,121.153,1742511206.9931185
3,118.775,1742511206.9931185
4,117.68,1742511206.9931185
5,121.044,1742511206.9931185
6,117.47,1742511206.9931185
7,123.96,1742511206.9931185
0,120.95,1742511207.0432642
1,118.104,1742511207.0432642
2,121.153,1742511207.0432642
3,118.775,1742511207.0432642
4,117.653,1742511207.0432642
5,121.044,1742511207.0432642
6,117.47,1742511207.0432642
7,123.955,1742511207.0432642
0,120.931,1742511207.093405
1,117.936,1742511207.093405
2,121.145,1742511207.093405
3,118.791,1742511207.093405
4,117.653,1742511207.093405
5,121.044,1742511207.093405
6,117.47,1742511207.093405
7,123.955,1742511207.093405
0,120.931,1742511207.143562
1,117.936,1742511207.143562
2,121.145,1742511207.143562
3,118.791,1742511207.143562
4,117.661,1742511207.143562
5,121.015,1742511207.143562
6,117.484,1742511207.143562
7,123.941,1742511207.143562
0,120.921,1742511207.1937356
1,117.965,1742511207.1937356
2,121.145,1742511207.1937356
3,118.791,1742511207.1937356
4,117.661,1742511207.1937356
5,121.015,1742511207.1937356
6,117.484,1742511207.1937356
7,123.941,1742511207.1937356
0,120.921,1742511207.2439172
1,117.965,1742511207.2439172
2,121.145,1742511207.2439172
3,118.791,1742511207.2439172
4,117.649,1742511207.2439172
5,121.01,1742511207.2439172
6,117.497,1742511207.2439172
7,123.916,1742511207.2439172
0,120.898,1742511207.294059
1,117.827,1742511207.294059
2,121.144,1742511207.294059
3,118.775,1742511207.294059
4,117.649,1742511207.294059
5,121.01,1742511207.294059
6,117.497,1742511207.294059
7,123.916,1742511207.294059
0,120.898,1742511207.3442101
1,117.827,1742511207.3442101
2,121.144,1742511207.3442101
3,118.775,1742511207.3442101
4,117.642,1742511207.3442101
5,120.987,1742511207.3442101
6,117.504,1742511207.3442101
7,123.909,1742511207.3442101
0,120.881,1742511207.3943527
1,117.902,1742511207.3943527
2,121.144,1742511207.3943527
3,118.758,1742511207.3943527
4,117.642,1742511207.3943527
5,120.987,1742511207.3943527
6,117.504,1742511207.3943527
7,123.909,1742511207.3943527
0,120.881,1742511207.4445138
1,117.902,1742511207.4445138
2,121.144,1742511207.4445138
3,118.758,1742511207.4445138
4,117.644,1742511207.4445138
5,120.981,1742511207.4445138
6,117.499,1742511207.4445138
7,123.896,1742511207.4445138
0,120.86,1742511207.494669
1,117.841,1742511207.494669
2,121.131,1742511207.494669
3,118.765,1742511207.494669
4,117.644,1742511207.494669
5,120.981,1742511207.494669
6,117.499,1742511207.494669
7,123.896,1742511207.494669
0,120.86,1742511207.544827
1,117.841,1742511207.544827
2,121.131,1742511207.544827
3,118.765,1742511207.544827
4,117.635,1742511207.544827
5,120.974,1742511207.544827
6,117.456,1742511207.544827
7,123.89,1742511207.544827
0,120.841,1742511207.594976
1,117.855,1742511207.594976
2,121.118,1742511207.594976
3,118.744,1742511207.594976
4,117.635,1742511207.594976
5,120.974,1742511207.594976
6,117.456,1742511207.594976
7,123.89,1742511207.594976
0,120.841,1742511207.6451316
1,117.855,1742511207.6451316
2,121.118,1742511207.6451316
3,118.744,1742511207.6451316
4,117.63,1742511207.6451316
5,120.979,1742511207.6451316
6,117.456,1742511207.6451316
7,123.909,1742511207.6451316
0,120.833,1742511207.6952689
1,117.923,1742511207.6952689
2,121.104,1742511207.6952689
3,118.744,1742511207.6952689
4,117.63,1742511207.6952689
5,120.979,1742511207.6952689
6,117.456,1742511207.6952689
7,123.909,1742511207.6952689
0,120.833,1742511207.7454114
1,117.923,1742511207.7454114
2,121.104,1742511207.7454114
3,118.744,1742511207.7454114
4,117.625,1742511207.7454114
5,120.986,1742511207.7454114
6,117.444,1742511207.7454114
7,123.898,1742511207.7454114
0,120.805,1742511207.7955618
1,117.89,1742511207.7955618
2,121.103,1742511207.7955618
3,118.716,1742511207.7955618
4,117.625,1742511207.7955618
5,120.986,1742511207.7955618
6,117.444,1742511207.7955618
7,123.898,1742511207.7955618
0,120.805,1742511207.8457372
1,117.89,1742511207.8457372
2,121.103,1742511207.8457372
3,118.716,1742511207.8457372
4,117.618,1742511207.8457372
5,120.944,1742511207.8457372
6,117.428,1742511207.8457372
7,123.898,1742511207.8457372
0,120.776,1742511207.895883
1,118.068,1742511207.895883
2,121.115,1742511207.895883
3,118.696,1742511207.895883
4,117.618,1742511207.895883
5,120.944,1742511207.895883
6,117.428,1742511207.895883
7,123.898,1742511207.895883
0,120.776,1742511207.946035
1,118.068,1742511207.946035
2,121.115,1742511207.946035
3,118.696,1742511207.946035
4,117.619,1742511207.946035
5,120.991,1742511207.946035
6,117.44,1742511207.946035
7,123.908,1742511207.946035
0,120.788,1742511207.9961848
1,117.978,1742511207.9961848
2,121.101,1742511207.9961848
3,118.677,1742511207.9961848
4,117.619,1742511207.9961848
5,120.991,1742511207.9961848
6,117.44,1742511207.9961848
7,123.908,1742511207.9961848
0,120.788,1742511208.0463226
1,117.978,1742511208.0463226
2,121.101,1742511208.0463226
3,118.677,1742511208.0463226
4,117.619,1742511208.0463226
5,120.958,1742511208.0463226
6,117.426,1742511208.0463226
7,123.908,1742511208.0463226
0,120.794,1742511208.0965648
1,118.163,1742511208.0965648
2,121.109,1742511208.0965648
3,118.657,1742511208.0965648
4,117.619,1742511208.0965648
5,120.958,1742511208.0965648
6,117.426,1742511208.0965648
7,123.908,1742511208.0965648
0,120.794,1742511208.1467044
1,118.163,1742511208.1467044
2,121.109,1742511208.1467044
3,118.657,1742511208.1467044
4,117.605,1742511208.1467044
5,120.952,1742511208.1467044
6,117.413,1742511208.1467044
7,123.915,1742511208.1467044
0,120.788,1742511208.1968648
1,118.07,1742511208.1968648
2,121.103,1742511208.1968648
3,118.644,1742511208.1968648
4,117.605,1742511208.1968648
5,120.952,1742511208.1968648
6,117.413,1742511208.1968648
7,123.915,1742511208.1968648
0,120.788,1742511208.247016
1,118.07,1742511208.247016
2,121.103,1742511208.247016
3,118.644,1742511208.247016
4,117.6,1742511208.247016
5,120.943,1742511208.247016
6,117.4,1742511208.247016
7,123.926,1742511208.247016
0,120.776,1742511208.2971792
1,118.11,1742511208.2971792
2,121.084,1742511208.2971792
3,118.637,1742511208.2971792
4,117.6,1742511208.2971792
5,120.943,1742511208.2971792
6,117.4,1742511208.2971792
7,123.926,1742511208.2971792
0,120.776,1742511208.3473406
1,118.11,1742511208.3473406
2,121.084,1742511208.3473406
3,118.637,1742511208.3473406
4,117.598,1742511208.3473406
5,120.952,1742511208.3473406
6,117.386,1742511208.3473406
7,123.904,1742511208.3473406
0,120.776,1742511208.397495
1,118.125,1742511208.397495
2,121.063,1742511208.397495
3,118.637,1742511208.397495
4,117.598,1742511208.397495
5,120.952,1742511208.397495
6,117.386,1742511208.397495
7,123.904,1742511208.397495
0,120.776,1742511208.447644
1,118.125,1742511208.447644
2,121.063,1742511208.447644
3,118.637,1742511208.447644
4,117.603,1742511208.447644
5,120.917,1742511208.447644
6,117.371,1742511208.447644
7,123.914,1742511208.447644
0,120.768,1742511208.4978359
1,118.151,1742511208.4978359
2,121.07,1742511208.4978359
3,118.637,1742511208.4978359
4,117.603,1742511208.4978359
5,120.917,1742511208.4978359
6,117.371,1742511208.4978359
7,123.914,1742511208.4978359
0,120.768,1742511208.5479956
1,118.151,1742511208.5479956
2,121.07,1742511208.5479956
3,118.637,1742511208.5479956
4,117.593,1742511208.5479956
5,120.924,1742511208.5479956
6,117.407,1742511208.5479956
7,123.896,1742511208.5479956
0,120.759,1742511208.598144
1,118.248,1742511208.598144
2,121.076,1742511208.598144
3,118.624,1742511208.598144
4,117.593,1742511208.598144
5,120.924,1742511208.598144
6,117.407,1742511208.598144
7,123.896,1742511208.598144
0,120.759,1742511208.6482885
1,118.248,1742511208.6482885
2,121.076,1742511208.6482885
3,118.624,1742511208.6482885
4,117.585,1742511208.6482885
5,120.871,1742511208.6482885
6,117.386,1742511208.6482885
7,123.872,1742511208.6482885
0,120.767,1742511208.6985037
1,118.179,1742511208.6985037
2,121.083,1742511208.6985037
3,118.61,1742511208.6985037
4,117.585,1742511208.6985037
5,120.871,1742511208.6985037
6,117.386,1742511208.6985037
7,123.872,1742511208.6985037
0,120.767,1742511208.7486567
1,118.179,1742511208.7486567
2,121.083,1742511208.7486567
3,118.61,1742511208.7486567
4,117.588,1742511208.7486567
5,120.912,1742511208.7486567
6,117.38,1742511208.7486567
7,123.859,1742511208.7486567
0,120.758,1742511208.7988691
1,118.289,1742511208.7988691
2,121.069,1742511208.7988691
3,118.611,1742511208.7988691
4,117.588,1742511208.7988691
5,120.912,1742511208.7988691
6,117.38,1742511208.7988691
7,123.859,1742511208.7988691
0,120.758,1742511208.8490117
1,118.289,1742511208.8490117
2,121.069,1742511208.8490117
3,118.611,1742511208.8490117
4,117.59,1742511208.8490117
5,120.873,1742511208.8490117
6,117.353,1742511208.8490117
7,123.868,1742511208.8490117
0,120.753,1742511208.8991702
1,118.131,1742511208.8991702
2,121.057,1742511208.8991702
3,118.597,1742511208.8991702
4,117.59,1742511208.8991702
5,120.873,1742511208.8991702
6,117.353,1742511208.8991702
7,123.868,1742511208.8991702
0,120.753,1742511208.9493182
1,118.131,1742511208.9493182
2,121.057,1742511208.9493182
3,118.597,1742511208.9493182
4,117.605,1742511208.9493182
5,120.879,1742511208.9493182
6,117.361,1742511208.9493182
7,123.871,1742511208.9493182
0,120.763,1742511208.9994607
1,118.276,1742511208.9994607
2,121.052,1742511208.9994607
3,118.598,1742511208.9994607
4,117.605,1742511208.9994607
5,120.879,1742511208.9994607
6,117.361,1742511208.9994607
7,123.871,1742511208.9994607
0,120.763,1742511209.0496097
1,118.276,1742511209.0496097
2,121.052,1742511209.0496097
3,118.598,1742511209.0496097
4,117.603,1742511209.0496097
5,120.854,1742511209.0496097
6,117.36,1742511209.0496097
7,123.881,1742511209.0496097
0,120.754,1742511209.0997806
1,118.118,1742511209.0997806
2,121.031,1742511209.0997806
3,118.617,1742511209.0997806
4,117.603,1742511209.0997806
5,120.854,1742511209.0997806
6,117.36,1742511209.0997806
7,123.881,1742511209.0997806
0,120.754,1742511209.1499462
1,118.118,1742511209.1499462
2,121.031,1742511209.1499462
3,118.617,1742511209.1499462
4,117.616,1742511209.1499462
5,120.867,1742511209.1499462
6,117.365,1742511209.1499462
7,123.859,1742511209.1499462
0,120.764,1742511209.2000988
1,118.179,1742511209.2000988
2,121.031,1742511209.2000988
3,118.624,1742511209.2000988
4,117.616,1742511209.2000988
5,120.867,1742511209.2000988
6,117.365,1742511209.2000988
7,123.859,1742511209.2000988
0,120.764,1742511209.250253
1,118.179,1742511209.250253
2,121.024,1742511209.250253
3,118.624,1742511209.250253
4,117.622,1742511209.250253
5,120.868,1742511209.250253
6,117.365,1742511209.250253
7,123.878,1742511209.250253
0,120.78,1742511209.300412
1,118.125,1742511209.300412
2,121.024,1742511209.300412
3,118.63,1742511209.300412
4,117.622,1742511209.300412
5,120.868,1742511209.300412
6,117.365,1742511209.300412
7,123.878,1742511209.300412
0,120.78,1742511209.3505583
1,118.125,1742511209.3505583
2,121.03,1742511209.3505583
3,118.63,1742511209.3505583
4,117.604,1742511209.3505583
5,120.866,1742511209.3505583
6,117.347,1742511209.3505583
7,123.831,1742511209.3505583
0,120.785,1742511209.4007077
1,118.103,1742511209.4007077
2,121.03,1742511209.4007077
3,118.61,1742511209.4007077
4,117.604,1742511209.4007077
5,120.866,1742511209.4007077
6,117.347,1742511209.4007077
7,123.831,1742511209.4007077
0,120.785,1742511209.450855
1,118.103,1742511209.450855
2,121.042,1742511209.450855
3,118.61,1742511209.450855
4,117.611,1742511209.450855
5,120.853,1742511209.450855
6,117.34,1742511209.450855
7,123.81,1742511209.450855
0,120.771,1742511209.501009
1,118.111,1742511209.501009
2,121.042,1742511209.501009
3,118.604,1742511209.501009
4,117.611,1742511209.501009
5,120.853,1742511209.501009
6,117.34,1742511209.501009
7,123.81,1742511209.501009
0,120.771,1742511209.5511603
1,118.111,1742511209.5511603
2,121.027,1742511209.5511603
3,118.604,1742511209.5511603
4,117.601,1742511209.5511603
5,120.873,1742511209.5511603
6,117.309,1742511209.5511603
7,123.799,1742511209.5511603
0,120.765,1742511209.6013136
1,117.917,1742511209.6013136
2,121.027,1742511209.6013136
3,118.604,1742511209.6013136
4,117.601,1742511209.6013136
5,120.873,1742511209.6013136
6,117.309,1742511209.6013136
7,123.799,1742511209.6013136
0,120.765,1742511209.6515052
1,117.917,1742511209.6515052
2,121.02,1742511209.6515052
3,118.604,1742511209.6515052
4,117.594,1742511209.6515052
5,120.879,1742511209.6515052
6,117.313,1742511209.6515052
7,123.799,1742511209.6515052
0,120.771,1742511209.701651
1,117.99,1742511209.701651
2,121.02,1742511209.701651
3,118.611,1742511209.701651
4,117.594,1742511209.701651
5,120.879,1742511209.701651
6,117.313,1742511209.701651
7,123.799,1742511209.701651
0,120.771,1742511209.7518094
1,117.99,1742511209.7518094
2,121.0,1742511209.7518094
3,118.611,1742511209.7518094
4,117.596,1742511209.7518094
5,120.842,1742511209.7518094
6,117.321,1742511209.7518094
7,123.797,1742511209.7518094
0,120.773,1742511209.8019488
1,117.789,1742511209.8019488
2,121.0,1742511209.8019488
3,118.604,1742511209.8019488
4,117.596,1742511209.8019488
5,120.842,1742511209.8019488
6,117.321,1742511209.8019488
7,123.797,1742511209.8019488
0,120.773,1742511209.8521018
1,117.789,1742511209.8521018
2,120.987,1742511209.8521018
3,118.604,1742511209.8521018
4,117.589,1742511209.8521018
5,120.829,1742511209.8521018
6,117.334,1742511209.8521018
7,123.792,1742511209.8521018
0,120.741,1742511209.902239
1,117.895,1742511209.902239
2,120.987,1742511209.902239
3,118.598,1742511209.902239
4,117.589,1742511209.902239
5,120.829,1742511209.902239
6,117.334,1742511209.902239
7,123.792,1742511209.902239
0,120.741,1742511209.952396
1,117.895,1742511209.952396
