GPU_ID,Power_Usage_W,Timestamp
0,70.975,1742518171.2688048
1,69.519,1742518171.2688048
2,71.814,1742518171.2688048
3,69.84,1742518171.2688048
4,70.72,1742518171.2688048
5,69.783,1742518171.2688048
6,68.6,1742518171.2688048
7,71.97,1742518171.2688048
0,70.975,1742518171.3346648
1,69.519,1742518171.3346648
2,71.82,1742518171.3346648
3,69.84,1742518171.3346648
4,70.693,1742518171.3346648
5,69.783,1742518171.3346648
6,68.6,1742518171.3346648
7,71.97,1742518171.3346648
0,70.977,1742518171.384751
1,69.532,1742518171.384751
2,71.82,1742518171.384751
3,69.848,1742518171.384751
4,70.693,1742518171.384751
5,69.783,1742518171.384751
6,68.614,1742518171.384751
7,71.979,1742518171.384751
0,70.977,1742518171.4348824
1,69.532,1742518171.4348824
2,71.834,1742518171.4348824
3,69.848,1742518171.4348824
4,70.693,1742518171.4348824
5,69.79,1742518171.4348824
6,68.614,1742518171.4348824
7,71.979,1742518171.4348824
0,70.983,1742518171.4850638
1,69.521,1742518171.4850638
2,71.834,1742518171.4850638
3,69.827,1742518171.4850638
4,70.704,1742518171.4850638
5,69.79,1742518171.4850638
6,68.608,1742518171.4850638
7,71.979,1742518171.4850638
0,70.983,1742518171.5351987
1,69.521,1742518171.5351987
2,71.84,1742518171.5351987
3,69.827,1742518171.5351987
4,70.704,1742518171.5351987
5,69.77,1742518171.5351987
6,68.608,1742518171.5351987
7,71.979,1742518171.5351987
0,70.961,1742518171.5853393
1,69.554,1742518171.5853393
2,71.84,1742518171.5853393
3,69.825,1742518171.5853393
4,70.711,1742518171.5853393
5,69.77,1742518171.5853393
6,68.614,1742518171.5853393
7,71.99,1742518171.5853393
0,70.961,1742518171.6354766
1,69.554,1742518171.6354766
2,71.827,1742518171.6354766
3,69.825,1742518171.6354766
4,70.711,1742518171.6354766
5,69.782,1742518171.6354766
6,68.614,1742518171.6354766
7,71.99,1742518171.6354766
0,70.961,1742518171.685612
1,69.548,1742518171.685612
2,71.827,1742518171.685612
3,69.853,1742518171.685612
4,70.724,1742518171.685612
5,69.782,1742518171.685612
6,68.62,1742518171.685612
7,71.969,1742518171.685612
0,70.961,1742518171.73575
1,69.548,1742518171.73575
2,71.807,1742518171.73575
3,69.853,1742518171.73575
4,70.724,1742518171.73575
5,69.758,1742518171.73575
6,68.62,1742518171.73575
7,71.969,1742518171.73575
0,70.961,1742518171.7858884
1,69.534,1742518171.7858884
2,71.807,1742518171.7858884
3,69.86,1742518171.7858884
4,70.712,1742518171.7858884
5,69.758,1742518171.7858884
6,68.64,1742518171.7858884
7,71.968,1742518171.7858884
0,70.961,1742518171.8360596
1,69.534,1742518171.8360596
2,71.8,1742518171.8360596
3,69.86,1742518171.8360596
4,70.712,1742518171.8360596
5,69.786,1742518171.8360596
6,68.64,1742518171.8360596
7,71.968,1742518171.8360596
0,70.948,1742518171.8862007
1,69.52,1742518171.8862007
2,71.8,1742518171.8862007
3,69.865,1742518171.8862007
4,70.709,1742518171.8862007
5,69.786,1742518171.8862007
6,68.62,1742518171.8862007
7,71.962,1742518171.8862007
0,70.948,1742518171.936375
1,69.52,1742518171.936375
2,71.806,1742518171.936375
3,69.865,1742518171.936375
4,70.709,1742518171.936375
5,69.778,1742518171.936375
6,68.62,1742518171.936375
7,71.962,1742518171.936375
0,70.942,1742518171.9865117
1,69.541,1742518171.9865117
2,71.806,1742518171.9865117
3,69.879,1742518171.9865117
4,70.696,1742518171.9865117
5,69.778,1742518171.9865117
6,68.587,1742518171.9865117
7,71.964,1742518171.9865117
0,70.942,1742518172.0366712
1,69.541,1742518172.0366712
2,71.813,1742518172.0366712
3,69.879,1742518172.0366712
4,70.696,1742518172.0366712
5,69.8,1742518172.0366712
6,68.587,1742518172.0366712
7,71.964,1742518172.0366712
0,70.936,1742518172.0868127
1,69.534,1742518172.0868127
2,71.813,1742518172.0868127
3,69.872,1742518172.0868127
4,70.68,1742518172.0868127
5,69.8,1742518172.0868127
6,68.587,1742518172.0868127
7,71.965,1742518172.0868127
0,70.936,1742518172.1369486
1,69.534,1742518172.1369486
2,71.829,1742518172.1369486
3,69.872,1742518172.1369486
4,70.68,1742518172.1369486
5,69.804,1742518172.1369486
6,68.587,1742518172.1369486
7,71.965,1742518172.1369486
0,70.922,1742518172.187086
1,69.533,1742518172.187086
2,71.829,1742518172.187086
3,69.868,1742518172.187086
4,70.694,1742518172.187086
5,69.804,1742518172.187086
6,68.6,1742518172.187086
7,71.992,1742518172.187086
0,70.922,1742518172.2372105
1,69.533,1742518172.2372105
2,71.823,1742518172.2372105
3,69.868,1742518172.2372105
4,70.694,1742518172.2372105
5,69.813,1742518172.2372105
6,68.6,1742518172.2372105
7,71.992,1742518172.2372105
0,70.936,1742518172.2873476
1,69.526,1742518172.2873476
2,71.823,1742518172.2873476
3,69.881,1742518172.2873476
4,70.659,1742518172.2873476
5,69.813,1742518172.2873476
6,68.594,1742518172.2873476
7,71.984,1742518172.2873476
0,70.936,1742518172.33751
1,69.526,1742518172.33751
2,71.849,1742518172.33751
3,69.881,1742518172.33751
4,70.659,1742518172.33751
5,69.824,1742518172.33751
6,68.594,1742518172.33751
7,71.984,1742518172.33751
0,70.948,1742518172.3876488
1,69.506,1742518172.3876488
2,71.849,1742518172.3876488
3,69.882,1742518172.3876488
4,70.659,1742518172.3876488
5,69.824,1742518172.3876488
6,68.601,1742518172.3876488
7,71.971,1742518172.3876488
0,70.948,1742518172.4377897
1,69.506,1742518172.4377897
2,71.836,1742518172.4377897
3,69.882,1742518172.4377897
4,70.659,1742518172.4377897
5,69.795,1742518172.4377897
6,68.601,1742518172.4377897
7,71.971,1742518172.4377897
0,70.944,1742518172.4879272
1,69.506,1742518172.4879272
2,71.836,1742518172.4879272
3,69.88,1742518172.4879272
4,70.65,1742518172.4879272
5,69.795,1742518172.4879272
6,68.62,1742518172.4879272
7,71.977,1742518172.4879272
0,70.944,1742518172.5380704
1,69.506,1742518172.5380704
2,71.839,1742518172.5380704
3,69.88,1742518172.5380704
4,70.65,1742518172.5380704
5,69.815,1742518172.5380704
6,68.62,1742518172.5380704
7,71.977,1742518172.5380704
0,70.955,1742518172.5881963
1,69.485,1742518172.5881963
2,71.839,1742518172.5881963
3,69.861,1742518172.5881963
4,70.643,1742518172.5881963
5,69.815,1742518172.5881963
