GPU_ID,Power_Usage_W,Timestamp
0,116.729,1742888055.752077
1,69.479,1742888055.752077
2,71.926,1742888055.752077
3,69.826,1742888055.752077
4,70.564,1742888055.752077
5,69.756,1742888055.752077
6,68.586,1742888055.752077
7,71.883,1742888055.752077
0,116.73,1742888055.8521786
1,69.466,1742888055.8521786
2,71.933,1742888055.8521786
3,69.826,1742888055.8521786
4,70.57,1742888055.8521786
5,69.747,1742888055.8521786
6,68.575,1742888055.8521786
7,71.877,1742888055.8521786
0,116.733,1742888055.9525049
1,69.5,1742888055.9525049
2,71.926,1742888055.9525049
3,69.84,1742888055.9525049
4,70.569,1742888055.9525049
5,69.763,1742888055.9525049
6,68.573,1742888055.9525049
7,71.89,1742888055.9525049
0,116.739,1742888056.0526369
1,69.479,1742888056.0526369
2,71.92,1742888056.0526369
3,69.853,1742888056.0526369
4,70.557,1742888056.0526369
5,69.728,1742888056.0526369
6,68.574,1742888056.0526369
7,71.897,1742888056.0526369
0,116.751,1742888056.152766
1,69.497,1742888056.152766
2,71.92,1742888056.152766
3,69.852,1742888056.152766
4,70.559,1742888056.152766
5,69.735,1742888056.152766
6,68.587,1742888056.152766
7,71.896,1742888056.152766
0,116.77,1742888056.2529032
1,69.47,1742888056.2529032
2,71.906,1742888056.2529032
3,69.835,1742888056.2529032
4,70.568,1742888056.2529032
5,69.735,1742888056.2529032
6,68.607,1742888056.2529032
7,71.877,1742888056.2529032
0,116.755,1742888056.3530753
1,69.471,1742888056.3530753
2,71.886,1742888056.3530753
3,69.84,1742888056.3530753
4,70.575,1742888056.3530753
5,69.748,1742888056.3530753
6,68.601,1742888056.3530753
7,71.878,1742888056.3530753
0,116.768,1742888056.4532437
1,69.457,1742888056.4532437
2,71.873,1742888056.4532437
3,69.834,1742888056.4532437
4,70.58,1742888056.4532437
5,69.747,1742888056.4532437
6,68.6,1742888056.4532437
7,71.878,1742888056.4532437
0,116.755,1742888056.5533767
1,69.449,1742888056.5533767
2,71.882,1742888056.5533767
3,69.814,1742888056.5533767
4,70.566,1742888056.5533767
5,69.729,1742888056.5533767
6,68.581,1742888056.5533767
7,71.891,1742888056.5533767
0,116.768,1742888056.6535149
1,69.455,1742888056.6535149
2,71.882,1742888056.6535149
3,69.835,1742888056.6535149
4,70.592,1742888056.6535149
5,69.734,1742888056.6535149
6,68.58,1742888056.6535149
7,71.897,1742888056.6535149
0,116.761,1742888056.753782
1,69.442,1742888056.753782
2,71.869,1742888056.753782
3,69.826,1742888056.753782
4,70.592,1742888056.753782
5,69.708,1742888056.753782
6,68.582,1742888056.753782
7,71.903,1742888056.753782
0,116.754,1742888056.8539162
1,69.442,1742888056.8539162
2,71.863,1742888056.8539162
3,69.835,1742888056.8539162
4,70.595,1742888056.8539162
5,69.729,1742888056.8539162
6,68.588,1742888056.8539162
7,71.91,1742888056.8539162
0,116.751,1742888056.9540908
1,69.442,1742888056.9540908
2,71.862,1742888056.9540908
3,69.845,1742888056.9540908
4,70.595,1742888056.9540908
5,69.741,1742888056.9540908
6,68.6,1742888056.9540908
7,71.916,1742888056.9540908
0,116.755,1742888057.0542426
1,69.423,1742888057.0542426
2,71.867,1742888057.0542426
3,69.829,1742888057.0542426
4,70.615,1742888057.0542426
5,69.735,1742888057.0542426
6,68.62,1742888057.0542426
7,71.903,1742888057.0542426
0,116.75,1742888057.1543863
1,69.444,1742888057.1543863
2,71.869,1742888057.1543863
3,69.821,1742888057.1543863
4,70.627,1742888057.1543863
5,69.748,1742888057.1543863
6,68.627,1742888057.1543863
7,71.898,1742888057.1543863
0,116.75,1742888057.2545238
1,69.445,1742888057.2545238
2,71.887,1742888057.2545238
3,69.83,1742888057.2545238
4,70.605,1742888057.2545238
5,69.733,1742888057.2545238
6,68.621,1742888057.2545238
7,71.911,1742888057.2545238
0,116.747,1742888057.3546631
1,69.479,1742888057.3546631
2,71.894,1742888057.3546631
3,69.824,1742888057.3546631
4,70.589,1742888057.3546631
5,69.728,1742888057.3546631
6,68.627,1742888057.3546631
